Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-03,ES,Spain,EURO,0,0,0,0
2020-01-04,ES,Spain,EURO,0,0,0,0
2020-01-05,ES,Spain,EURO,0,0,0,0
2020-01-06,ES,Spain,EURO,0,0,0,0
2020-01-07,ES,Spain,EURO,0,0,0,0
2020-01-08,ES,Spain,EURO,0,0,0,0
2020-01-09,ES,Spain,EURO,0,0,0,0
2020-01-10,ES,Spain,EURO,0,0,0,0
2020-01-11,ES,Spain,EURO,0,0,0,0
2020-01-12,ES,Spain,EURO,0,0,0,0
2020-01-13,ES,Spain,EURO,0,0,0,0
2020-01-14,ES,Spain,EURO,0,0,0,0
2020-01-15,ES,Spain,EURO,0,0,0,0
2020-01-16,ES,Spain,EURO,0,0,0,0
2020-01-17,ES,Spain,EURO,0,0,0,0
2020-01-18,ES,Spain,EURO,0,0,0,0
2020-01-19,ES,Spain,EURO,0,0,0,0
2020-01-20,ES,Spain,EURO,0,0,0,0
2020-01-21,ES,Spain,EURO,0,0,0,0
2020-01-22,ES,Spain,EURO,0,0,0,0
2020-01-23,ES,Spain,EURO,0,0,0,0
2020-01-24,ES,Spain,EURO,0,0,0,0
2020-01-25,ES,Spain,EURO,0,0,0,0
2020-01-26,ES,Spain,EURO,0,0,0,0
2020-01-27,ES,Spain,EURO,0,0,0,0
2020-01-28,ES,Spain,EURO,0,0,0,0
2020-01-29,ES,Spain,EURO,0,0,0,0
2020-01-30,ES,Spain,EURO,0,0,0,0
2020-01-31,ES,Spain,EURO,0,0,0,0
2020-02-01,ES,Spain,EURO,0,0,0,0
2020-02-02,ES,Spain,EURO,2,2,0,0
2020-02-03,ES,Spain,EURO,0,2,0,0
2020-02-04,ES,Spain,EURO,0,2,0,0
2020-02-05,ES,Spain,EURO,0,2,0,0
2020-02-06,ES,Spain,EURO,0,2,0,0
2020-02-07,ES,Spain,EURO,0,2,0,0
2020-02-08,ES,Spain,EURO,0,2,0,0
2020-02-09,ES,Spain,EURO,0,2,0,0
